Frame,Y1,Y2
434,-39.5144,-46.0051
435,-40.4339,-47.0429
436,-41.343,-48.0575
437,-42.2801,-49.0438
438,-43.2811,-49.9968
439,-44.3718,-50.9113
440,-45.5638,-51.7821
441,-46.8501,-52.6042
442,-48.2059,-53.3723
443,-49.5926,-54.0814
444,-50.9628,-54.7263
445,-52.2685,-55.3018
446,-53.4658,-55.8029
447,-54.5209,-56.2244
448,-55.4108,-56.5612
449,-56.1235,-56.8081
450,-56.656,-56.96
451,-57.0118,-57.0118
452,-57.1981,-56.9612
453,-57.2248,-56.8128
454,-57.1024,-56.5715
455,-56.8438,-56.2425
456,-56.4621,-55.8307
457,-55.971,-55.3411
458,-55.3828,-54.7788
459,-54.7056,-54.1487
460,-53.9451,-53.4559
461,-53.1042,-52.7055
462,-52.1858,-51.9023
463,-51.1945,-51.0515
464,-50.1382,-50.158
465,-49.03,-49.2269
466,-47.8873,-48.2632
467,-46.7311,-47.2719
468,-45.585,-46.2581
469,-44.4703,-45.2266
470,-43.4052,-44.1827
471,-42.402,-43.1312
472,-41.4664,-42.0771
473,-40.5973,-41.0256
474,-39.7878,-39.9817
475,-39.0274,-38.9502
476,-38.3036,-37.9364
477,-37.604,-36.9451
478,-36.9189,-35.9814
479,-36.2411,-35.0503
480,-35.5655,-34.1568
481,-34.889,-33.306
482,-34.2104,-32.5028
483,-33.53,-31.7524
484,-32.85,-31.0596
485,-32.1754,-30.4295
486,-31.5133,-29.8672
487,-30.8716,-29.3776
488,-30.2586,-28.9658
489,-29.682,-28.6368
490,-29.1462,-28.3955
491,-28.6519,-28.2471
492,-28.1965,-28.1965
493,-27.774,-28.2024
494,-27.3775,-28.2197
495,-27.0004,-28.2479
496,-26.6401,-28.2862
497,-26.2965,-28.3343
498,-25.9732,-28.3914
499,-25.6756,-28.457
500,-25.4084,-28.5305
