Frame,OY,Y1,Y2
377,-6.71641,-6.80297,-6.79933
378,-6.8271,-6.8271,-6.8271
379,-6.94072,-6.8161,-6.81985
380,-7.06064,-6.78453,-6.7988
381,-7.1874,-6.73456,-6.76475
382,-7.31871,-6.66836,-6.71823
383,-7.44801,-6.58809,-6.65965
384,-7.56623,-6.49592,-6.58936
385,-7.6635,-6.394,-6.50785
386,-7.73059,-6.28451,-6.41572
387,-7.76122,-6.1696,-6.3138
388,-7.75263,-6.05145,-6.20328
389,-7.70586,-5.93222,-6.08566
390,-7.62412,-5.81407,-5.9629
391,-7.511,-5.69916,-5.83738
392,-7.36901,-5.58967,-5.71196
393,-7.19704,-5.48775,-5.58997
394,-6.99045,-5.39558,-5.47512
395,-6.74103,-5.31531,-5.37155
396,-6.43914,-5.24911,-5.28356
397,-6.07635,-5.19914,-5.21558
398,-5.64802,-5.16757,-5.17192
399,-5.15657,-5.15657,-5.15657
400,-4.61195,-5.15412,-5.15415
401,-4.03203,-5.14709,-5.1472
402,-3.44116,-5.13596,-5.13619
403,-2.86633,-5.12122,-5.1216
404,-2.33306,-5.10335,-5.10388
405,-1.86182,-5.08282,-5.08351
406,-1.46583,-5.06013,-5.06095
407,-1.15061,-5.03574,-5.03669
408,-0.916238,-5.01016,-5.01118
409,-0.762087,-4.98385,-4.98491
410,-0.687973,-4.95729,-4.95836
411,-0.698647,-4.93098,-4.932
412,-0.802722,-4.9054,-4.90633
413,-1.01078,-4.88101,-4.88183
414,-1.3284,-4.85832,-4.85899
415,-1.75432,-4.83779,-4.83831
416,-2.27592,-4.81992,-4.82028
417,-2.86976,-4.80518,-4.8054
418,-3.50602,-4.79405,-4.79415
419,-4.15337,-4.78702,-4.78705
420,-4.78457,-4.78457,-4.78457
421,-5.38222,-4.84226,-4.86005
422,-5.94063,-5.00775,-5.07415
423,-6.46663,-5.26969,-5.40591
424,-6.97474,-5.61675,-5.8328
425,-7.48366,-6.03757,-6.33268
426,-8.01066,-6.5208,-6.88512
427,-8.56686,-7.05509,-7.47215
428,-9.15442,-7.62911,-8.07852
429,-9.76576,-8.23149,-8.69157
430,-10.3852,-8.8509,-9.30083
431,-10.9907,-9.47597,-9.89754
432,-11.5575,-10.0954,-10.4741
433,-12.0618,-10.6978,-11.0236
434,-12.4841,-11.2718,-11.5392
435,-12.8133,-11.8061,-12.014
436,-13.0498,-12.2893,-12.4406
437,-13.206,-12.7101,-12.8107
438,-13.3055,-13.0572,-13.1157
439,-13.3766,-13.3191,-13.3459
440,-13.4482,-13.4846,-13.4915
441,-13.5423,-13.5423,-13.5423
442,-13.6705,-13.5398,-13.5368
443,-13.8342,-13.5327,-13.5211
444,-14.0253,-13.5214,-13.4969
445,-14.2303,-13.5064,-13.4662
446,-14.4343,-13.4883,-13.4309
447,-14.6243,-13.4675,-13.3929
448,-14.7905,-13.4444,-13.354
449,-14.9269,-13.4197,-13.3158
450,-15.0301,-13.3937,-13.2797
451,-15.0995,-13.367,-13.2469
452,-15.1347,-13.3401,-13.2184
453,-15.1361,-13.3134,-13.1948
454,-15.1034,-13.2874,-13.1766
455,-15.0352,-13.2627,-13.1637
456,-14.9283,-13.2396,-13.1561
457,-14.7771,-13.2188,-13.1531
458,-14.5756,-13.2007,-13.1537
459,-14.3162,-13.1857,-13.1566
460,-13.9936,-13.1744,-13.1604
461,-13.6079,-13.1673,-13.1636
462,-13.1648,-13.1648,-13.1648
463,-12.6773,-13.0955,-13.1175
464,-12.1629,-12.8967,-12.9814
465,-11.64,-12.582,-12.7639
466,-11.1229,-12.1651,-12.4719
467,-10.6185,-11.6596,-12.1113
468,-10.1253,-11.0791,-11.6873
469,-9.6336,-10.4373,-11.2046
470,-9.12904,-9.74778,-10.667
471,-8.59768,-9.02416,-10.0782
472,-8.03338,-8.28009,-9.44186
473,-7.43834,-7.52921,-8.76183
474,-6.8271,-6.78514,-8.04312
475,-6.22005,-6.06152,-7.29267
476,-5.63991,-5.37199,-6.52063
477,-5.10545,-4.73016,-5.7419
478,-4.62605,-4.14967,-4.97777
479,-4.20002,-3.64416,-4.25738
480,-3.81247,-3.22726,-3.61823
481,-3.44019,-2.91259,-3.10503
482,-3.05791,-2.71379,-2.76573
483,-2.6445,-2.6445,-2.6445
484,-2.19487,-3.72198,-2.65601
485,-1.71833,-6.81311,-2.69158
486,-1.24118,-11.7059,-2.75617
487,-0.803801,-18.1885,-2.85931
488,-0.451822,-26.0488,-3.01606
489,-0.234272,-35.0748,-3.24906
490,-0.191135,-45.0548,-3.59288
491,-0.353747,-55.7766,-4.10226
492,-0.749235,-67.0283,-4.86915
493,-1.40368,-78.5979,-6.06094
494,-2.37211,-90.2736,-8.01779
495,-3.77499,-101.843,-11.5482
496,-5.89447,-113.095,-19.0949
497,-9.44456,-123.817,-41.3356
498,-16.6175,-133.797,-108.724
499,-37.2042,-142.823,-147.01
500,-105.786,-150.683,-158.072
