Frame,OY,Y1,Y2
377,-6.71641,-6.65262,-6.62777
378,-6.8271,-6.8271,-6.8271
379,-6.94072,-6.74755,-6.77368
380,-7.06064,-6.668,-6.71796
381,-7.1874,-6.58845,-6.6599
382,-7.31871,-6.5089,-6.59945
383,-7.44801,-6.42935,-6.53658
384,-7.56623,-6.34981,-6.47123
385,-7.6635,-6.27026,-6.40336
386,-7.73059,-6.19071,-6.33293
387,-7.76122,-6.11116,-6.25987
388,-7.75263,-6.03161,-6.18413
389,-7.70586,-5.95206,-6.10567
390,-7.62412,-5.87251,-6.02441
391,-7.511,-5.79296,-5.94031
392,-7.36901,-5.71341,-5.85329
393,-7.19704,-5.63386,-5.76329
394,-6.99045,-5.55432,-5.67023
395,-6.74103,-5.47477,-5.57406
396,-6.43914,-5.39522,-5.47469
397,-6.07635,-5.31567,-5.37204
398,-5.64802,-5.23612,-5.26603
399,-5.15657,-5.15657,-5.15657
400,-4.61195,-5.13886,-5.13905
401,-4.03203,-5.12114,-5.12152
402,-3.44116,-5.10343,-5.10396
403,-2.86633,-5.08571,-5.08638
404,-2.33306,-5.068,-5.06878
405,-1.86182,-5.05028,-5.05117
406,-1.46583,-5.03257,-5.03353
407,-1.15061,-5.01486,-5.01587
408,-0.916238,-4.99714,-4.99819
409,-0.762087,-4.97943,-4.98049
410,-0.687973,-4.96171,-4.96278
411,-0.698647,-4.944,-4.94504
412,-0.802722,-4.92628,-4.92729
413,-1.01078,-4.90857,-4.90951
414,-1.3284,-4.89086,-4.89172
415,-1.75432,-4.87314,-4.87391
416,-2.27592,-4.85543,-4.85608
417,-2.86976,-4.83771,-4.83823
418,-3.50602,-4.82,-4.82036
419,-4.15337,-4.80228,-4.80247
420,-4.78457,-4.78457,-4.78457
421,-5.38222,-5.2016,-5.32049
422,-5.94063,-5.61864,-5.83508
423,-6.46663,-6.03567,-6.33047
424,-6.97474,-6.45271,-6.80858
425,-7.48366,-6.86974,-7.27114
426,-8.01066,-7.28678,-7.71973
427,-8.56686,-7.70381,-8.15577
428,-9.15442,-8.12085,-8.58059
429,-9.76576,-8.53788,-8.99539
430,-10.3852,-8.95492,-9.4013
431,-10.9907,-9.37195,-9.79936
432,-11.5575,-9.78899,-10.1905
433,-12.0618,-10.206,-10.5758
434,-12.4841,-10.6231,-10.956
435,-12.8133,-11.0401,-11.3319
436,-13.0498,-11.4571,-11.7044
437,-13.206,-11.8742,-12.0743
438,-13.3055,-12.2912,-12.4422
439,-13.3766,-12.7082,-12.8091
440,-13.4482,-13.1253,-13.1755
441,-13.5423,-13.5423,-13.5423
442,-13.6705,-13.5243,-13.5031
443,-13.8342,-13.5063,-13.4661
444,-14.0253,-13.4884,-13.4311
445,-14.2303,-13.4704,-13.3981
446,-14.4343,-13.4524,-13.3671
447,-14.6243,-13.4344,-13.3381
448,-14.7905,-13.4165,-13.3111
449,-14.9269,-13.3985,-13.286
450,-15.0301,-13.3805,-13.263
451,-15.0995,-13.3625,-13.2419
452,-15.1347,-13.3446,-13.2228
453,-15.1361,-13.3266,-13.2059
454,-15.1034,-13.3086,-13.1911
455,-15.0352,-13.2906,-13.1786
456,-14.9283,-13.2727,-13.1684
457,-14.7771,-13.2547,-13.1606
458,-14.5756,-13.2367,-13.1555
459,-14.3162,-13.2187,-13.1531
460,-13.9936,-13.2008,-13.1537
461,-13.6079,-13.1828,-13.1575
462,-13.1648,-13.1648,-13.1648
463,-12.6773,-12.6638,-12.8206
464,-12.1629,-12.1629,-12.4703
