Frame,OY,Y1,Y2
761,-45.4598,-42.0375,-42.4042
762,-45.7037,-41.8537,-42.1913
763,-45.8908,-41.67,-41.9558
764,-46.0408,-41.4862,-41.7029
765,-46.1632,-41.3024,-41.4374
766,-46.2521,-41.1186,-41.1645
767,-46.2864,-40.9349,-40.889
768,-46.2336,-40.7511,-40.6161
769,-46.056,-40.5673,-40.3506
770,-45.7192,-40.3835,-40.0977
771,-45.2023,-40.1998,-39.8622
772,-44.4994,-40.016,-39.6493
773,-43.6245,-39.8322,-39.4638
774,-42.6069,-39.6484,-39.3109
775,-41.4856,-39.4647,-39.1954
776,-40.3025,-39.2809,-39.1225
777,-39.0971,-39.0971,-39.0971
778,-37.9058,-39.1576,-39.1055
779,-36.7625,-39.218,-39.1295
780,-35.7024,-39.2785,-39.1674
781,-34.7552,-39.3389,-39.2177
782,-33.9398,-39.3994,-39.2788
783,-33.3244,-39.4599,-39.3488
784,-32.9625,-39.5203,-39.4263
785,-32.9052,-39.5808,-39.5095
786,-33.1815,-39.6413,-39.5968
787,-33.7892,-39.7017,-39.6866
788,-34.6775,-39.7622,-39.7773
789,-35.7456,-39.8226,-39.8671
790,-36.872,-39.8831,-39.9544
791,-37.9382,-39.9436,-40.0376
792,-38.7855,-40.004,-40.1151
793,-39.379,-40.0645,-40.1851
794,-39.7375,-40.125,-40.2462
795,-39.9323,-40.1854,-40.2965
796,-40.0489,-40.2459,-40.3344
797,-40.1739,-40.3063,-40.3584
798,-40.3668,-40.3668,-40.3668
799,-40.6427,-40.1499,-40.3368
800,-40.9819,-39.9331,-40.2508
