Frame,OY,Y1,Y2
761,-45.4598,-42.0189,-42.3919
762,-45.7037,-41.8327,-42.1751
763,-45.8908,-41.6469,-41.9362
764,-46.0408,-41.4616,-41.6802
765,-46.1632,-41.2768,-41.4126
766,-46.2521,-41.0924,-41.1383
767,-46.2864,-40.9084,-40.8626
768,-46.2336,-40.725,-40.5905
769,-46.056,-40.542,-40.3269
770,-45.7192,-40.3596,-40.0768
771,-45.2023,-40.1777,-39.8448
772,-44.4994,-39.9962,-39.6358
773,-43.6245,-39.8153,-39.4543
774,-42.6069,-39.635,-39.3051
775,-41.4856,-39.4551,-39.1927
776,-40.3025,-39.2758,-39.1218
777,-39.0971,-39.0971,-39.0971
778,-37.9058,-39.0883,-39.0954
779,-36.7625,-39.0869,-39.0915
780,-35.7024,-39.0926,-39.0876
781,-34.7552,-39.1055,-39.0869
782,-33.9398,-39.1254,-39.0927
783,-33.3244,-39.1522,-39.1083
784,-32.9625,-39.1858,-39.1364
785,-32.9052,-39.2263,-39.1793
786,-33.1815,-39.2735,-39.2381
787,-33.7892,-39.3274,-39.3134
788,-34.6775,-39.3881,-39.4043
789,-35.7456,-39.4555,-39.5092
790,-36.872,-39.5295,-39.6255
791,-37.9382,-39.6103,-39.7493
792,-38.7855,-39.6978,-39.8762
793,-39.379,-39.7921,-40.0006
794,-39.7375,-39.8932,-40.1165
795,-39.9323,-40.0011,-40.2175
796,-40.0489,-40.116,-40.2969
797,-40.1739,-40.2378,-40.3485
798,-40.3668,-40.3668,-40.3668
799,-40.6427,-40.1636,-40.3388
800,-40.9819,-39.9589,-40.2582
