Frame,Y1,Y2
433,-38.5495,-44.6513
434,-39.5144,-45.7089
435,-40.4339,-46.7522
436,-41.343,-47.776
437,-42.2801,-48.7752
438,-43.2811,-49.7443
439,-44.3718,-50.678
440,-45.5638,-51.5706
441,-46.8501,-52.4164
442,-48.2059,-53.2098
443,-49.5926,-53.9449
444,-50.9628,-54.6157
445,-52.2685,-55.2164
446,-53.4658,-55.7408
447,-54.5209,-56.183
448,-55.4108,-56.5371
449,-56.1235,-56.797
450,-56.656,-56.9572
451,-57.0118,-57.0118
452,-57.1981,-56.9647
453,-57.2248,-56.8265
454,-57.1024,-56.6022
455,-56.8438,-56.2969
456,-56.4621,-55.9157
457,-55.971,-55.4639
458,-55.3828,-54.9464
459,-54.7056,-54.3682
460,-53.9451,-53.734
461,-53.1042,-53.0482
462,-52.1858,-52.3153
463,-51.1945,-51.539
464,-50.1382,-50.7234
465,-49.03,-49.8718
466,-47.8873,-48.9878
467,-46.7311,-48.0747
468,-45.585,-47.1354
469,-44.4703,-46.1733
470,-43.4052,-45.1914
471,-42.402,-44.1929
472,-41.4664,-43.1811
473,-40.5973,-42.1596
474,-39.7878,-41.132
475,-39.0274,-40.1025
476,-38.3036,-39.0754
477,-37.604,-38.0555
478,-36.9189,-37.0481
479,-36.2411,-36.0588
480,-35.5655,-35.0938
481,-34.889,-34.1598
482,-34.2104,-33.2639
483,-33.53,-32.4137
484,-32.85,-31.6172
485,-32.1754,-30.8826
486,-31.5133,-30.2186
487,-30.8716,-29.6338
488,-30.2586,-29.1369
489,-29.682,-28.7367
490,-29.1462,-28.4413
491,-28.6519,-28.2588
492,-28.1965,-28.1965
493,-27.774,-28.203
494,-27.3775,-28.222
495,-27.0004,-28.2528
496,-26.6401,-28.2947
497,-26.2965,-28.347
498,-25.9732,-28.4091
499,-25.6756,-28.4801
500,-25.4084,-28.5593
